Animal ID,Animal Type,Total Days,Excluded Days,LOS,Age (years),Incoming Source,Incoming Date,Incoming Region,Status Date,Outgoing Eval Cat
537035,Rabbit,18.87,0,18.87,0,ACO Impound,10/08/2021 16:29,Maple Ridge Branch,10/27/2021 13:28,H
537036,Rabbit,18.87,0,18.87,0,ACO Impound,10/08/2021 16:29,Maple Ridge Branch,10/27/2021 13:28,H
511017,Rabbit,106.8,88.05,18.75,3,ACO Impound,05/26/2020 20:52,Burnaby Branch,09/10/2020 16:03,H
459540,Rabbit,18.2,0,18.2,1,Owner Surrender,04/26/2018 09:33,East Kootenay Branch,05/14/2018 14:26,H
479604,Rabbit,18.14,0,18.14,0,Stray,01/19/2019 13:38,Burnaby Branch,02/06/2019 16:54,H
505454,Rabbit,18.13,0,18.13,,Stray,01/20/2020 12:58,Maple Ridge Branch,02/07/2020 16:09,H
454492,Rabbit,18.13,0,18.13,2,Stray,02/13/2018 12:17,Nanaimo & District Branch,03/03/2018 15:21,TR
511068,Rabbit,114.07,95.95,18.12,0,ACO Impound,05/26/2020 20:52,Burnaby Branch,09/18/2020 17:57,H
519180,Rabbit,18.11,0,18.11,,Owner Surrender,10/26/2020 13:07,Cowichan & District Branch,11/13/2020 15:47,TM
448883,Rabbit,18.07,0,18.07,0,Owner Surrender,11/20/2017 11:37,Vernon & District Branch,12/08/2017 13:19,H
497985,Rabbit,18.04,0,18.04,0,Stray,09/24/2019 12:03,Abbotsford Branch,10/12/2019 12:55,TR
466482,Rabbit,18.03,0,18.03,1,Owner Surrender,07/20/2018 15:06,North Cariboo District Branch,08/07/2018 15:44,UU
483070,Rabbit,17.99,0,17.99,1,Stray,03/15/2019 13:01,Abbotsford Branch,04/02/2019 12:45,H
432035,Rabbit,17.98,0,17.98,0,Stray,05/08/2017 17:06,Powell River & District Branch,05/26/2017 16:44,UU
505780,Rabbit,17.98,0,17.98,0,Stray,01/23/2020 16:24,South Okanagan/Similkameen Branch,02/10/2020 15:51,H
496230,Rabbit,30.96,13.05,17.9,,ACO Impound,09/01/2019 13:43,Burnaby Branch,10/02/2019 12:40,H
430995,Rabbit,17.89,0,17.89,3,Owner Surrender,04/25/2017 14:28,Maple Ridge Branch,05/13/2017 11:48,TR
529528,Rabbit,17.89,0,17.89,1,Owner Surrender,06/02/2021 16:15,Vancouver Branch,06/20/2021 13:35,H
529529,Rabbit,17.89,0,17.89,1,Owner Surrender,06/02/2021 16:15,Vancouver Branch,06/20/2021 13:35,H
445003,Rabbit,17.89,0,17.89,2,Returns,11/03/2017 14:53,West Kootenay & District Branch,11/21/2017 12:14,H
529334,Rabbit,17.88,0,17.88,0,Returns,09/21/2021 14:01,Victoria Branch,10/09/2021 11:14,TR
515989,Rabbit,17.87,0,17.87,0,Owner Surrender,08/29/2020 15:55,Quesnel & District Branch,09/16/2020 12:49,H
515990,Rabbit,17.87,0,17.87,0,Owner Surrender,08/29/2020 15:55,Quesnel & District Branch,09/16/2020 12:49,H
439973,Rabbit,17.84,0,17.84,0,Owner Surrender,08/08/2017 16:46,Comox Valley & District Branch,08/26/2017 12:59,H
